Job Title,Job Description,category_group_name,certificate_group_name
Principle Engineer in Machine Learning,Senior role overseeing machine learning projects. Responsible for guiding teams on best practices in model development and deployment.,Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
Production Support Engineer,"Provides support for production systems to ensure uptime. Responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis.",System Administration & IT Support,Software Development & Specialized IT Certifications
Puppet Operations Engineer,Utilizes Puppet for configuration management tasks. Responsible for writing manifests/scripts to automate system configurations across environments.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Senior Build and Release Engineer,Leads build/release engineering efforts within an organization. Manages complex build environments while ensuring timely delivery of software releases.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Senior Build Engineer,Oversees build processes for software projects at a senior level. Responsible for optimizing build times and maintaining build infrastructure.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Site Reliability Engineer (Kubernetes â Docker),Focuses on maintaining high availability of containerized applications using Kubernetes/Docker while implementing SRE best practices.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Monitoring, Logging & Observability","Data Science, Analytics & Splunk Certifications"
.NET Developer,Develops applications using .NET framework technologies including C#. Responsibilities include application design/development/testing.,Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
ACCESSIBILITY SPECIALIST,"Ensures digital content meets accessibility standards (e.g., WCAG). Conducts audits/reviews to improve accessibility compliance.","Mobile Development, UI/UX & Accessibility",Software Development & Specialized IT Certifications
AGILE PROJECT MANAGER,"Manages Agile projects by facilitating Scrum ceremonies (e.g., sprint planning). Ensures team adherence to Agile principles/methodologies.","Project Management, Leadership & Business Strategy","Project Management, Agile & Business Analysis Certifications"
Android Developer,Develops mobile applications using Android SDK/Java/Kotlin technologies while focusing on UI/UX design principles.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
Ansible Automation Engineer,Automates IT tasks using Ansible playbooks/scripts while managing configurations across environments.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
AppDynamics Engineer,Monitors application performance using AppDynamics tools while providing insights into application health/performance metrics.,"Monitoring, Logging & Observability",Software Development & Specialized IT Certifications
Application Security Engineer,Focuses on securing applications through vulnerability assessments/pentesting while implementing security best practices.,Cybersecurity & Network Engineering,Cybersecurity & Information Security Certifications
Artifactory Engineer,Manages Artifactory repositories while integrating them into CI/CD pipelines to ensure efficient artifact management.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
AWS DevOps Engineer,Implements DevOps practices on AWS platform while utilizing services like EC2/S3/Lambda to automate deployments.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
AWS Solutions Architect,Designs scalable cloud architectures on AWS platform while providing guidance on best practices/security compliance.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Azure DevOps Engineer,Implements DevOps solutions on Azure platform while utilizing Azure DevOps services/tools to automate deployments.,Cloud Infrastructure & DevOps Automation,"Azure, AI & Developer Certifications"
Bamboo Engineer,"Manages CI/CD processes using Bamboo. Responsibilities include configuring build plans, integrating with version control systems, and ensuring smooth deployment pipelines.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Bitbucket Engineer,"Administers Bitbucket repositories for version control. Responsible for managing user permissions, branch strategies, and pull requests.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Blockchain Developer,Develops blockchain-based applications and smart contracts. Requires knowledge of blockchain frameworks such as Ethereum and programming languages like Solidity.,Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
BUSINESS SYSTEMS ANALYST,Analyzes business needs and translates them into technical requirements. Works closely with stakeholders to improve processes and implement technology solutions.,"Big Data, Data Engineering & Analytics","Project Management, Agile & Business Analysis Certifications"
C# Developer,"Develops applications using C# and .NET technologies. Responsibilities include designing, coding, testing, and debugging software applications.",Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
Chef InSpec Engineer,Utilizes Chef InSpec for compliance automation. Responsible for writing tests to ensure systems meet security and compliance standards.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
Cloud administrator,No description available,Cloud Infrastructure & DevOps Automation,Networking & Infrastructure Certifications
CLOUD ARCHITECT,Designs cloud architecture solutions to meet business requirements. Responsible for selecting appropriate cloud services and ensuring scalability/security.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
Cloud automation engineer,Automates cloud infrastructure management using tools like Terraform or Ansible. Focuses on deploying resources efficiently across cloud environments.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
Cloud engineer,"Builds and maintains cloud infrastructure. Responsibilities include configuring cloud services, optimizing performance, and ensuring security compliance.",Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
Cloud network engineer,"Designs and manages networking solutions within cloud environments. Focuses on VPCs, subnets, routing configurations, and security groups.",Cloud Infrastructure & DevOps Automation,Networking & Infrastructure Certifications
Cloud Security Engineer,"Implements security measures for cloud environments. Responsibilities include identity management, data protection, and compliance auditing.",Cloud Infrastructure & DevOps Automation,Cybersecurity & Information Security Certifications
CNC Programmer,Creates CNC programs for machining operations. Responsible for interpreting blueprints and optimizing tool paths for efficiency.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
Coder,Writes code in various programming languages to develop software applications. Responsibilities include debugging and maintaining code quality.,"Programming, Embedded Systems & Robotics",Entry-Level Programming & Web Development Certifications
COMPUTER GRAPHICS ANIMATOR,"Creates animations using computer graphics software. Responsibilities include modeling, rigging, and rendering 3D assets.","Animation, Multimedia & Game Development","Animation, Game Development & Creative Design Certifications"
Computer Hardware Engineer,"Designs and tests hardware components for computers. Responsibilities include circuit design, prototyping, and troubleshooting hardware issues.","Programming, Embedded Systems & Robotics",Networking & Infrastructure Certifications
Computer Network Architect,Designs network infrastructures to support organizational needs. Responsible for selecting hardware/software solutions to optimize network performance.,Cybersecurity & Network Engineering,Networking & Infrastructure Certifications
Computer Programmer,Writes code to create software applications based on specifications. Responsibilities include debugging code and collaborating with other developers.,"Programming, Embedded Systems & Robotics","Java, Oracle & Enterprise Development Certifications"
Computer Research Scientist,Conducts research in computing fields to develop new technologies or methodologies. Publishes findings in academic journals and presents at conferences.,Artificial Intelligence & Machine Learning,"Data Science, Analytics & Splunk Certifications"
Computer Systems Analyst,Analyzes computer systems to identify improvements in efficiency or functionality. Works closely with stakeholders to gather requirements and implement solutions.,"Big Data, Data Engineering & Analytics",Software Development & Specialized IT Certifications
Confluence Engineer,"Manages Confluence as a collaboration tool within teams. Responsibilities include configuring spaces, managing permissions, and supporting documentation efforts.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Consul Engineer,Implements service discovery solutions using HashiCorp Consul. Responsible for configuring service mesh capabilities and ensuring application connectivity.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
Coverage.py Engineer,Utilizes Coverage.py for measuring code coverage in Python applications. Responsible for implementing testing strategies to improve code quality.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
DATA ANALYST,"Analyzes data sets to extract insights that inform business decisions. Proficient in SQL, Excel, and data visualization tools like Tableau or Power BI.","Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
Data Engineer,"Builds data pipelines to support analytics initiatives. Requires expertise in ETL processes, SQL databases, and big data technologies.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
DATA MODELER,Creates data models that define how data is stored within databases. Works closely with architects to ensure alignment with business requirements.,"Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
DATA SCIENTIST,Utilizes statistical analysis and machine learning techniques to derive insights from complex datasets. Proficient in programming languages like Python or R.,"Big Data, Data Engineering & Analytics","Azure, AI & Developer Certifications"
Database Administrator,"Responsible for managing database systems including installation, configuration, monitoring performance, backup/recovery procedures.",Database Administration & SQL Development,"Azure, AI & Developer Certifications"
Datadog Engineer,Implements monitoring solutions using Datadog to track application performance metrics. Responsible for configuring alerts/dashboards.,"Monitoring, Logging & Observability","DevOps, CI/CD & Cloud Automation Certifications"
Developer,Writes software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
DevOps Architect,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
DevOps Engineer,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
DEVOPS MANAGER,Oversees DevOps teams responsible for automating software delivery processes while ensuring alignment with organizational goals.,Cloud Infrastructure & DevOps Automation,"Project Management, Agile & Business Analysis Certifications"
DevSecOps Architect,Integrates security practices into the DevOps process by designing secure CI/CD pipelines that meet compliance standards.,"DevOps, Kubernetes & Cloud Security",Cybersecurity & Information Security Certifications
DevSecOps Engineer,Implements security measures within the DevOps lifecycle by utilizing tools that automate security checks throughout development.,"DevOps, Kubernetes & Cloud Security","DevOps, CI/CD & Cloud Automation Certifications"
Director of Engineering,Leads engineering teams while overseeing project management efforts across multiple initiatives within the organization.,"Project Management, Leadership & Business Strategy","Project Management, Agile & Business Analysis Certifications"
Docker Engineer,Manages containerization solutions using Docker while ensuring efficient deployment of applications across environments.,"DevOps, Kubernetes & Cloud Security","DevOps, CI/CD & Cloud Automation Certifications"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Monitoring, Logging & Observability","DevOps, CI/CD & Cloud Automation Certifications"
Embedded Software Engineer,Develops software for embedded systems by writing low-level code that interfaces directly with hardware components.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
Entry Level Developer,Assists in developing software applications under supervision while gaining experience in coding/debugging practices.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Entry Level Network Engineer,Supports network infrastructure by assisting with configuration/troubleshooting tasks while gaining hands-on experience.,System Administration & IT Support,Networking & Infrastructure Certifications
Entry Level Programmer,Writes basic code under supervision while learning programming concepts/techniques through practical application.,"Programming, Embedded Systems & Robotics",Entry-Level Programming & Web Development Certifications
Entry Level Software Developer,Assists in developing software applications while gaining experience in coding/debugging practices under supervision.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Entry Level Software Engineer,Participates in software development projects while gaining practical experience in coding/debugging under guidance.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Entry Level Web Developer,Assists in developing web applications while learning front-end/back-end technologies through practical experience.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Envoy Engineer,Implements Envoy proxy solutions within microservices architectures while focusing on traffic management/security policies.,"DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
Falco Engineer,Utilizes Falco for runtime security monitoring of containerized applications while implementing threat detection mechanisms.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
FluentD Engineer,Configures FluentD as a log collector/aggregator while managing log ingestion pipelines into storage/analytics platforms.,"Monitoring, Logging & Observability","DevOps, Automation & Collaboration Tool Certifications"
Fortify Engineer,Conducts static/dynamic application security testing using Fortify tools while identifying/remediating vulnerabilities within applications.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
FRAMEWORKS SPECIALIST,"Specializes in specific frameworks (e.g., React/Angular) by developing applications based on best practices within those frameworks.",Full Stack Development & Blockchain,"DevOps, Automation & Collaboration Tool Certifications"
Front End Developer,"Designs and develops user-facing features for web applications using HTML, CSS, and JavaScript. Collaborates with UX/UI designers to implement responsive designs.",Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
Front End Web Developer,Creates and maintains the visual components of web applications. Responsible for optimizing applications for maximum speed and scalability.,Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
Full Stack Developer,Develops both front-end and back-end components of web applications. Requires proficiency in multiple programming languages and frameworks.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Full Stack JAVA Developer/Programmer/Engineer,Designs and develops full-stack applications using Java technologies. Responsible for both server-side logic and user interface design.,Full Stack Development & Blockchain,"Java, Oracle & Enterprise Development Certifications"
Full Stack Python Developer/Programmer/Engineer,"Creates full-stack applications using Python frameworks (e.g., Django). Responsible for developing both client-side and server-side components.",Full Stack Development & Blockchain,"DevOps, Automation & Collaboration Tool Certifications"
Game Developer,"Designs and develops video games across platforms. Responsible for coding gameplay mechanics, graphics, and user interactions.",Full Stack Development & Blockchain,"Animation, Game Development & Creative Design Certifications"
GCP DevOps Engineer,"Implements DevOps practices on Google Cloud Platform. Responsible for automating deployments, managing CI/CD pipelines, and ensuring system reliability.",Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
Gerrit Engineer,Manages Gerrit code review system to facilitate collaborative development. Responsibilities include configuring projects and managing user access.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Git Engineer,"Specializes in Git version control systems. Responsible for managing repositories, branching strategies, and ensuring code integrity during development.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Github Engineer,"Manages GitHub repositories for version control. Responsibilities include setting up workflows, managing pull requests, and collaborating with teams.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
GitLab Engineer,Administers GitLab repositories for version control. Responsible for configuring CI/CD pipelines and managing project settings.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Gradle Engineer,Utilizes Gradle build automation tools to manage project dependencies and build processes. Responsible for optimizing build configurations.,"CI/CD, Version Control & Build Automation","Frontend, Mobile & UI/UX Certifications"
Grafana Engineer,Implements Grafana dashboards for data visualization. Responsible for monitoring metrics from various sources to provide insights into system performance.,"Monitoring, Logging & Observability",Software Development & Specialized IT Certifications
Groovy Engineer,Develops scripts using Groovy programming language to automate tasks within Java applications or build processes.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
INFORMATION ARCHITECT,Designs information systems that provide clear navigation structures for users. Works on organizing content effectively across digital platforms.,"Mobile Development, UI/UX & Accessibility",Cybersecurity & Information Security Certifications
Information Security Analyst,Protects an organizationâs computer systems by implementing security measures. Responsibilities include monitoring networks for security breaches.,Cybersecurity & Network Engineering,Cybersecurity & Information Security Certifications
INTERACTION DESIGNER,Focuses on creating engaging interfaces that enhance user experience. Responsibilities include conducting user research and usability testing.,"Mobile Development, UI/UX & Accessibility",Software Development & Specialized IT Certifications
IOS Developer,Develops mobile applications for iOS devices using Swift or Objective-C. Responsible for implementing UI designs and ensuring app performance.,"Mobile Development, UI/UX & Accessibility",Entry-Level Programming & Web Development Certifications
Istio Engineer,"Implements service mesh solutions using Istio to manage microservices communication. Focuses on traffic management, security policies, and observability.","DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
IT Manager,"Oversees IT operations within an organization. Responsibilities include managing IT staff, budgeting, and ensuring alignment with business goals.","Project Management, Leadership & Business Strategy","Project Management, Agile & Business Analysis Certifications"
JaCoCO Engineer,Utilizes JaCoCO to measure code coverage in Java applications. Responsible for integrating coverage reporting into CI/CD pipelines.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
Java Developer,"Develops software applications using Java programming language. Responsibilities include writing code, debugging, and collaborating with team members on projects.","Software Testing, QA & Java Development","Java, Oracle & Enterprise Development Certifications"
JavaScript Developer,Creates interactive web applications using JavaScript frameworks/libraries like React or Angular. Focuses on front-end development best practices.,Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
JIRA Engineer,"Administers JIRA project management tool to support Agile teams. Responsibilities include configuring workflows, managing projects, and providing user support.","Software Testing, QA & Java Development","DevOps, Automation & Collaboration Tool Certifications"
Jr Developer,Assists in software development tasks under supervision while gaining practical experience in coding/debugging practices.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Junior Developer,Supports development teams by writing code under guidance while learning best practices in software development.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Junior Front End Developer,Assists in developing front-end components of web applications while learning HTML/CSS/JavaScript.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Junior IOS Developer,Supports iOS application development efforts while gaining hands-on experience with Swift/Objective-C.,"Mobile Development, UI/UX & Accessibility",Entry-Level Programming & Web Development Certifications
Junior Software Developer,Participates in software development projects while gaining practical experience through coding/debugging tasks.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Junior Software Engineer,Assists in engineering tasks related to software development while learning from experienced team members.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
Junior Web Developer,Supports web development efforts by writing basic code under supervision while learning front-end/back-end technologies.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
JUnit Engineer,Utilizes JUnit framework to write unit tests for Java applications. Responsibilities include ensuring code quality through automated testing.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
kubernetes Administrator,"Manages and maintains Kubernetes clusters, ensuring high availability, scalability, and security of containerized applications. Works closely with DevOps, development, and IT teams to deploy, troubleshoot, and optimize Kubernetes-based infrastructure.","DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Kubernetes Engineer,Designs and implements Kubernetes solutions for container orchestration while ensuring high availability of services.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
MAVEN Engineer,Manages build processes using Maven for Java applications. Responsibilities include configuring pom.xml files and optimizing build performance.,"CI/CD, Version Control & Build Automation","Java, Oracle & Enterprise Development Certifications"
Micro services / API Lead Designer,"Responsible for architecting, designing, and leading the development of scalable, secure, and efficient microservices-based applications. Collaborate closely with engineering, DevOps, and product teams to define API strategies, ensure seamless integration, and optimize system performance.",Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
MOBILE APP DEVELOPER,Develops mobile applications for platforms like Android and iOS. Responsibilities include designing user interfaces and integrating backend services.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
Mobile Application Developer,Creates mobile applications using frameworks like React Native or Flutter. Focuses on delivering high-quality user experiences across devices.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
Mulesoft Developer,Designs and develops integration solutions using MuleSoft Anypoint Platform. Responsible for creating APIs and managing data flows between systems.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
Nagios Engineer,Implements Nagios monitoring solutions to track system performance and availability. Responsible for configuring alerts and managing monitoring plugins.,"Monitoring, Logging & Observability","DevOps, Automation & Collaboration Tool Certifications"
Network and Systems Administrator,"Manages network infrastructure and systems to ensure operational efficiency. Responsibilities include troubleshooting, maintenance, and user support.",System Administration & IT Support,Networking & Infrastructure Certifications
Network Engineer,"Designs, implements, and manages network solutions to ensure reliable connectivity. Responsibilities include configuring routers/switches and monitoring network performance.",Cybersecurity & Network Engineering,Networking & Infrastructure Certifications
New Grad Software Engineer,Entry-level position focused on software development tasks while gaining practical experience in coding/debugging under supervision.,Full Stack Development & Blockchain,Entry-Level Programming & Web Development Certifications
New Relic Engineer,"Utilizes New Relic for application performance monitoring. Responsibilities include configuring dashboards, analyzing metrics, and optimizing application performance.","Monitoring, Logging & Observability","DevOps, CI/CD & Cloud Automation Certifications"
Nexus Engineer,Manages Nexus repository for artifact management in CI/CD pipelines. Responsible for configuring repositories and ensuring efficient artifact storage.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Nomad Engineer,Implements Nomad for workload orchestration across distributed systems. Responsibilities include managing job definitions and ensuring service availability.,"DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
Notary Engineer,Utilizes Notary for secure signing of container images. Responsible for implementing trust management within containerized environments.,"DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
Octopus Deploy Engineer,Manages deployment processes using Octopus Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
OpenShift Engineer,"Administers OpenShift container platform for deploying applications. Responsibilities include managing clusters, scaling applications, and ensuring uptime.","DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
OpenStack Engineer,Implements OpenStack solutions for cloud infrastructure management. Responsible for deploying services and managing virtualized resources.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
Oracle Developer,"Develops applications using Oracle technologies including PL/SQL. Responsibilities include database design, coding, testing, and optimization.",Database Administration & SQL Development,"Java, Oracle & Enterprise Development Certifications"
Oracle SQL Developer,"Utilizes Oracle SQL Developer to manage database development tasks including writing queries, creating reports, and optimizing database performance.",Database Administration & SQL Development,"Java, Oracle & Enterprise Development Certifications"
Packer Engineer,Uses Packer to automate the creation of machine images across platforms. Responsible for maintaining image templates and ensuring consistency in deployments.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
PHP Developer,"Develops web applications using PHP programming language. Responsibilities include coding, debugging, and collaborating with front-end developers on integrations.",Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
Powershell Engineer,Utilizes PowerShell scripting to automate administrative tasks in Windows environments. Responsible for writing scripts to manage system configurations.,Cloud Infrastructure & DevOps Automation,"Azure, AI & Developer Certifications"
